"IDStazione";"StazioneExtra";"Nome";"Comune";"Provincia";"Fiume";"Strumento";"Unita' Misura";"IDSensoreRete";"LAT [°]";"LON [°]";"GB E [m]";"GB N [m]";"Quota";"QuotaTerra"
"TOS11000009";0;"Bibbona";"Bibbona";"LI";"";"pluviometro";"mm";752307.0;43.2622180533;10.5966921413;1629619.9;4791187.82;70.0;""
"TOS01005251";0;"Bocca d'Arno";"Pisa";"PI";"Arno";"pluviometro";"mm";730057.0;43.6807297973597;10.2803492546082;1603230.02;4837225.44;1.0;2.0
"TOS01005251";1;"Bocca d'Arno1";"Pisa";"PI";"Arno";"pluviometro";"mm";730077.0;43.6807297973597;10.2803492546082;1603230.02;4837225.44;1.0;2.0
"TOS02004369";0;"Bocca di Serchio";"San Giuliano Terme";"PI";"Serchio";"pluviometro";"mm";730957.0;43.781358231987;10.2697330713272;1602203.08;4848388.46;-0.23;2.0
"TOS01000999";0;"Borgo S. Lorenzo";"Borgo San Lorenzo";"FI";"";"pluviometro";"mm";737907.0;43.9578774974215;11.3905102014542;1691824.58;4869988.3;196.0;2.0
"TOS01000999";0;"Borgo S. Lorenzo";"Borgo San Lorenzo";"FI";"";"pluviometro";"mm";737927.0;43.9578774974215;11.3905102014542;1691824.58;4869988.3;196.0;2.0
"TOS11000017";0;"Borgo S. Lorenzo 2";"Borgo San Lorenzo";"FI";"";"pluviometro";"mm";748707.0;43.9862142623;11.3897064804;1691668.9;4873133.82;280.0;""
"TOS02004271";0;"Borgo a Mozzano";"Borgo a Mozzano";"LU";"Serchio";"pluviometro";"mm";734057.0;43.9798766944972;10.5515098571777;1624463.43;4870823.67;100.0;2.0
"TOS02004271";0;"Borgo a Mozzano";"Borgo a Mozzano";"LU";"Serchio";"pluviometro";"mm";734077.0;43.9798766944972;10.5515098571777;1624463.43;4870823.67;100.0;2.0
"TOS09000023";0;"Bosco di Rossano";"Zeri";"MS";"";"pluviometro";"mm";731807.0;44.30490973073084;9.797503359653383;1563640.72;4906064.45;670.0;2.0
"TOS02000351";0;"Boscolungo";"Abetone Cutigliano";"PT";"";"pluviometro";"mm";733457.0;44.1390944545056;10.6735396385193;1633891.2;4888699.4;1345.0;2.0
"TOS02000351";0;"Boscolungo";"Abetone Cutigliano";"PT";"";"pluviometro";"mm";733477.0;44.1390944545056;10.6735396385193;1633891.2;4888699.4;1345.0;2.0
"TOS11000008";0;"Braccagni";"Grosseto";"GR";"";"pluviometro";"mm";752857.0;42.9312119898578;11.0804200172424;1669793.3;4755291.61;40.0;""
"TOS03005379";0;"Bulera";"Pomarance";"PI";"Possera";"pluviometro";"mm";743707.0;43.268021;10.912562;1655242.18;4792370.52;0.0;""
"TOS03005379";0;"Bulera";"Pomarance";"PI";"Possera";"pluviometro";"mm";743727.0;43.268021;10.912562;1655242.18;4792370.52;0.0;""
"TOS11000067";0;"Buonconvento";"Montalcino";"SI";"";"pluviometro";"mm";750907.0;43.091799982;11.4388065394;1698520.9;4773911.82;188.0;""
"TOS02004195";0;"Calavorno";"Coreglia Antelminelli";"LU";"Serchio";"pluviometro";"mm";733807.0;44.0197503467906;10.5351032113666;1623065.13;4875227.79;137.0;2.0
"TOS02004195";0;"Calavorno";"Coreglia Antelminelli";"LU";"Serchio";"pluviometro";"mm";733827.0;44.0197503467906;10.5351032113666;1623065.13;4875227.79;137.0;2.0
"TOS03002551";0;"Caldana";"Gavorrano";"GR";"";"pluviometro";"mm";746057.0;42.8933127036581;10.9273840490634;1657401.56;4750785.23;146.0;2.0
"TOS03002551";0;"Caldana";"Gavorrano";"GR";"";"pluviometro";"mm";746077.0;42.8933127036581;10.9273840490634;1657401.56;4750785.23;146.0;2.0
"TOS01001103";0;"Caldine";"Fiesole";"FI";"";"pluviometro";"mm";737207.0;43.8397620463685;11.3113529758819;1685840.69;4856688.3;225.0;2.0
"TOS01001103";0;"Caldine";"Fiesole";"FI";"";"pluviometro";"mm";737227.0;43.8397620463685;11.3113529758819;1685840.69;4856688.3;225.0;2.0
"TOS01004784";0;"Calenzano";"Calenzano";"FI";"Marina";"pluviometro";"mm";736307.0;43.8608554463453;11.154997493755;1673209.87;4858691.59;60.0;2.0
"TOS01004784";0;"Calenzano";"Calenzano";"FI";"Marina";"pluviometro";"mm";736327.0;43.8608554463453;11.154997493755;1673209.87;4858691.59;60.0;2.0
"TOS01005485";0;"Calzalunga";"Suvereto";"LI";"Milia";"pluviometro";"mm";743357.0;43.0674010401297;10.722643319528;1640287.61;4769755.45;45.39;""
"TOS01005485";0;"Calzalunga";"Suvereto";"LI";"Milia";"pluviometro";"mm";743377.0;43.0674010401297;10.722643319528;1640287.61;4769755.45;45.39;""
"TOS02004059";0;"Camaiore";"Camaiore";"LU";"Camaiore";"pluviometro";"mm";731657.0;43.9337301878544;10.2810306072755;1602849.97;4865325.84;21.0;2.0
"TOS02004059";0;"Camaiore";"Camaiore";"LU";"Camaiore";"pluviometro";"mm";731677.0;43.9337301878544;10.2810306072755;1602849.97;4865325.84;21.0;2.0
"TOS01000611";0;"Camaldoli";"Poppi";"AR";"";"pluviometro";"mm";739057.0;43.8104162589896;11.817375720978;1726632.43;4854690.83;1111.0;2.0
"TOS02000241";0;"Campagrina";"Stazzema";"LU";"";"pluviometro";"mm";734207.0;44.0587239739373;10.259494006086;1600909.34;4879182.14;807.0;2.0
"TOS02000241";0;"Campagrina";"Stazzema";"LU";"";"pluviometro";"mm";734227.0;44.0587239739373;10.259494006086;1600909.34;4879182.14;807.0;2.0
"TOS01002779";0;"Campiano";"Montieri";"GR";"";"pluviometro";"mm";744207.0;43.1024634210867;11.038738489151;1665930.1;4774226.38;500.0;2.0
"TOS01002779";0;"Campiano";"Montieri";"GR";"";"pluviometro";"mm";744227.0;43.1024634210867;11.038738489151;1665930.1;4774226.38;500.0;2.0
"TOS03002420";0;"Campiglia Marittima";"Campiglia Marittima";"LI";"";"pluviometro";"mm";770357.0;43.0564622241148;10.6161112922922;1631637.0;4768368.04;190.0;2.0
"TOS03002420";0;"Campiglia Marittima";"Campiglia Marittima";"LI";"";"pluviometro";"mm";770377.0;43.0564622241148;10.6161112922922;1631637.0;4768368.04;190.0;2.0
"TOS11000029";0;"Campocecina";"Carrara";"MS";"";"pluviometro";"mm";748457.0;44.1164210898;10.1039108175;1588361.9;4885411.82;960.0;""
"TOS11000029";0;"Campocecina";"Carrara";"MS";"";"pluviometro";"mm";748477.0;44.1164210898;10.1039108175;1588361.9;4885411.82;960.0;""
"TOS02004115";0;"Camporgiano";"Camporgiano";"LU";"Serchio";"pluviometro";"mm";731157.0;44.1629351860751;10.3384244441986;1607043.09;4890856.67;390.0;""
"TOS02004115";0;"Camporgiano";"Camporgiano";"LU";"Serchio";"pluviometro";"mm";731177.0;44.1629351860751;10.3384244441986;1607043.09;4890856.67;390.0;""
"TOS11000027";0;"Candia Scurtarola";"Massa";"MS";"";"pluviometro";"mm";742457.0;44.0477764274902;10.1095676422119;1588917.28;4877793.54;150.0;""
"TOS02004011";0;"Canevara";"Massa";"MS";"Frigido";"pluviometro";"mm";733207.0;44.0582926425628;10.1681212642033;1593591.47;4879026.4;105.0;2.0
"TOS02004011";0;"Canevara";"Massa";"MS";"Frigido";"pluviometro";"mm";733227.0;44.0582926425628;10.1681212642033;1593591.47;4879026.4;105.0;2.0
"TOS01002171";0;"Canneto";"Monteverdi Marittimo";"PI";"";"pluviometro";"mm";742707.0;43.2023369745148;10.7393074035645;1641333.31;4784768.67;300.0;""
"TOS01002171";9;"Canneto9";"Monteverdi Marittimo";"PI";"";"pluviometro";"mm";742727.0;43.2023369745148;10.7393074035645;1641333.31;4784768.67;300.0;""
"TOS01001151";0;"Cantagallo";"Cantagallo";"PO";"";"pluviometro";"mm";736357.0;44.0216098454103;11.0794835635152;1666691.43;4876391.04;555.0;2.0
"TOS01001151";0;"Cantagallo";"Cantagallo";"PO";"";"pluviometro";"mm";736377.0;44.0216098454103;11.0794835635152;1666691.43;4876391.04;555.0;2.0
"TOS11000006";0;"Capalbio";"Capalbio";"GR";"";"pluviometro";"mm";752807.0;42.4053981963964;11.3915663124431;1696836.87;4697575.32;12.0;""
"TOS03003041";0;"Capanne";"Manciano";"GR";"";"pluviometro";"mm";746307.0;42.6908826532596;11.5467524524361;1708654.69;4729649.49;438.0;2.0
"TOS03003041";0;"Capanne";"Manciano";"GR";"";"pluviometro";"mm";746327.0;42.6908826532596;11.5467524524361;1708654.69;4729649.49;438.0;2.0
"TOS02000161";0;"Capanne di Sillano";"Sillano Giuncugnano";"LU";"";"pluviometro";"mm";734507.0;44.2559947074683;10.3096654408452;1604578.89;4901156.01;1035.0;2.0
