index,Nome,Unita' Misura,LAT [°],LON [°],GB E [m],GB N [m],Quota,06/12/2025,07/12/2025,08/12/2025,09/12/2025,10/12/2025,11/12/2025,12/12/2025,13/12/2025,14/12/2025,15/12/2025,16/12/2025,17/12/2025,18/12/2025,19/12/2025,20/12/2025,21/12/2025,22/12/2025,23/12/2025,24/12/2025,25/12/2025,26/12/2025,27/12/2025,28/12/2025,29/12/2025,30/12/2025,31/12/2025,01/01/2026,02/01/2026,03/01/2026,04/01/2026
TOS11000505,Casa Sartori,mm,43.6672749363993,11.0418495019913,1664647.11,4836960.45,198.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.2,13.8,8.2,1.0,1.8,0.2,0.0,0.0,5.4,15.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
TOS01001781,Casciana Terme,mm,43.5269869030049,10.6127617427245,1630355.37,4820617.7,135.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.4,35.8,9.8,0.8,1.8,0.2,0.0,1.0,9.2,7.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
TOS01001225,Case Passerini,mm,43.8197472851772,11.1682332026888,1674393.27,4854153.6,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,15.8,7.8,0.8,2.2,0.2,0.0,0.0,7.6,11.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,13.0,0.0,0.0
TOS02000221,Casone di Profecchia,mm,44.2105454611326,10.4471719264984,1615644.89,4896292.15,1297.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.2,13.8,8.4,5.6,2.2,0.0,0.0,0.4,12.6,14.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0
TOS02004215,Casotti di Cutigliano,mm,44.0982033246544,10.7516992092133,1640239.7,4884287.73,593.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,21.0,7.4,11.0,8.0,0.0,0.2,0.2,14.8,14.4,2.6,0.0,0.0,0.0,0.0,0.2,0.0,11.0,25.8,0.0,0.0
TOS11000013,Casotto dei Pescatori,mm,42.768622681,11.015953945,1664964.9,4737107.82,2.0,0.0,0.0,0.2,0.2,0.0,0.2,0.4,0.2,0.2,0.0,9.4,4.0,8.6,8.6,0.2,0.2,0.6,20.0,8.4,3.8,0.0,0.0,0.4,0.2,2.2,0.0,24.0,0.8,0.0,0.0
TOS03001021,Castagneto,mm,43.9394462799696,11.6426816284943,1712122.81,4868558.38,918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOS11000069,Castagneto Carducci,mm,43.1891413634,10.6277168605,1632295.9,4783120.82,95.0,0.8,1.0,0.2,0.2,0.0,0.4,0.2,0.0,0.0,0.0,19.6,3.8,3.6,2.0,0.0,0.0,1.8,15.2,2.0,4.6,0.0,0.0,0.2,0.0,0.6,0.0,0.0,2.6,0.0,0.0
TOS03002515,Casteani,mm,42.9814657294719,10.9788393974304,1661372.62,4760672.32,59.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,47.0,5.0,4.6,6.4,0.2,0.0,0.6,23.2,9.8,3.0,0.0,0.0,0.2,0.2,0.4,0.0,15.2,0.2,0.0,0.0
TOS03002901,Castel del Piano,mm,42.8939559995409,11.5267103430462,1706336.73,4752152.02,566.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,11.6,1.6,0.0,0.2,0.0,0.0,0.0,13.0,5.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.2,0.0,0.0
TOS01004971,Castelfiorentino,mm,43.6044841303309,10.9683985578388,1658890.65,4829843.5,50.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,15.6,10.4,1.4,4.0,0.0,0.2,0.2,3.4,9.0,3.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,4.4,0.0,0.0
TOS03001286,Castellina in Chianti,mm,43.4731638223604,11.2884332711639,1685121.37,4815920.67,572.0,0.2,0.0,0.2,0.2,0.0,0.4,0.2,0.0,0.0,0.2,5.2,4.8,2.2,3.6,0.2,0.0,0.0,4.6,8.6,6.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0
TOS03002016,Castellina Marittima ,mm,43.4104723221072,10.572811961174,1627371.46,4807615.8,325.0,2.4,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.2,33.4,11.6,2.2,4.0,0.0,0.0,1.6,13.2,7.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0
TOS01001629,Castelmartini,mm,43.8205636848113,10.8254384994507,1646824.23,4853578.79,20.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.2,0.2,20.8,7.2,2.4,4.8,0.0,0.2,0.0,7.6,15.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.6,10.2,0.0,0.0
TOS11000019,Castelnuovo B.ga,mm,43.3697317501,11.4231991535,1696355.9,4804741.82,300.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.0,4.6,1.6,0.0,0.2,0.2,0.6,6.6,8.8,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.0
TOS11000056,Castelnuovo Val di Cecina,mm,43.2042356911,10.8805790609,1652805.9,4785227.82,770.0,0.8,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,9.2,4.4,6.0,0.8,0.0,0.0,0.2,11.2,9.2,4.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0
TOS11000083,Castiglion Fibocchi,mm,43.5337984929579,11.743577773816,1721713.3,4823768.03,283.0,0.2,0.0,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.0,11.6,4.0,4.6,0.6,0.2,0.2,0.2,0.4,13.2,8.8,0.0,0.2,0.2,0.0,0.0,0.0,0.2,2.4,0.2,0.0
TOS01000761,Castiglion Fiorentino,mm,43.3428259433164,11.9289636611938,1737439.47,4803068.86,270.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.4,0.2,0.0,4.8,3.4,0.0,0.6,0.0,0.0,0.0,0.4,7.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0
